,learned-embed-dim,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
75,47.0,Figure7-learned-embed-dim-025-51689311,Completed,0.9933000206947327,2023-01-24 00:41:26+01:00,2023-01-24 01:18:47+01:00,2241.0
76,40.0,Figure7-learned-embed-dim-024-c6f5c376,Completed,0.8899000287055969,2023-01-24 00:41:24+01:00,2023-01-24 01:14:04+01:00,1960.0
77,22.0,Figure7-learned-embed-dim-023-7ccb779c,Completed,0.8022000193595886,2023-01-24 00:41:24+01:00,2023-01-24 01:12:43+01:00,1879.0
78,21.0,Figure7-learned-embed-dim-022-41f54484,Completed,0.7002000212669373,2023-01-24 00:41:20+01:00,2023-01-24 01:11:45+01:00,1825.0
79,19.0,Figure7-learned-embed-dim-021-15309e95,Completed,0.7415000200271606,2023-01-24 00:41:19+01:00,2023-01-24 01:12:38+01:00,1879.0
80,81.0,Figure7-learned-embed-dim-020-3f5cbfa5,Completed,1.0389000177383423,2023-01-24 00:05:41+01:00,2023-01-24 00:43:24+01:00,2263.0
81,61.0,Figure7-learned-embed-dim-019-fdaafcc8,Completed,1.0634000301361084,2023-01-24 00:05:40+01:00,2023-01-24 00:42:41+01:00,2221.0
82,31.0,Figure7-learned-embed-dim-018-20f20c70,Completed,0.8743000030517578,2023-01-24 00:05:45+01:00,2023-01-24 00:37:36+01:00,1911.0
83,29.0,Figure7-learned-embed-dim-017-b5b881cd,Completed,0.9398999810218811,2023-01-24 00:05:35+01:00,2023-01-24 00:36:35+01:00,1860.0
84,28.0,Figure7-learned-embed-dim-016-2fb637d7,Completed,0.8698999881744385,2023-01-24 00:05:40+01:00,2023-01-24 00:38:05+01:00,1945.0
85,27.0,Figure7-learned-embed-dim-015-91f92bac,Completed,0.7831000089645386,2023-01-24 00:05:32+01:00,2023-01-24 00:37:02+01:00,1890.0
86,26.0,Figure7-learned-embed-dim-014-83d05155,Completed,0.7954000234603882,2023-01-24 00:05:45+01:00,2023-01-24 00:38:43+01:00,1978.0
87,24.0,Figure7-learned-embed-dim-013-893f1746,Completed,0.6998999714851379,2023-01-24 00:05:32+01:00,2023-01-24 00:36:56+01:00,1884.0
88,23.0,Figure7-learned-embed-dim-012-84d67d8f,Completed,0.734000027179718,2023-01-24 00:05:23+01:00,2023-01-24 00:36:32+01:00,1869.0
89,100.0,Figure7-learned-embed-dim-011-dedbc83e,Completed,1.1282000541687012,2023-01-24 00:05:35+01:00,2023-01-24 00:43:06+01:00,2251.0
90,7.0,Figure7-learned-embed-dim-010-7b25634f,Completed,1.96589994430542,2023-01-23 23:30:57+01:00,2023-01-24 00:03:58+01:00,1981.0
91,39.0,Figure7-learned-embed-dim-009-598ea08d,Completed,0.8531000018119812,2023-01-23 23:30:44+01:00,2023-01-24 00:03:35+01:00,1971.0
92,3.0,Figure7-learned-embed-dim-008-495e71a5,Completed,8.862799644470215,2023-01-23 23:30:44+01:00,2023-01-24 00:01:33+01:00,1849.0
93,25.0,Figure7-learned-embed-dim-007-946088bb,Completed,0.6916999816894531,2023-01-23 23:30:59+01:00,2023-01-24 00:03:24+01:00,1945.0
94,20.0,Figure7-learned-embed-dim-006-6bc25eb3,Completed,0.7773000001907349,2023-01-23 23:30:46+01:00,2023-01-24 00:02:41+01:00,1915.0
95,2.0,Figure7-learned-embed-dim-005-032b7ec5,Completed,10.185400009155273,2023-01-23 23:30:39+01:00,2023-01-24 00:01:25+01:00,1846.0
96,15.0,Figure7-learned-embed-dim-004-3aab59c8,Completed,1.019700050354004,2023-01-23 23:30:35+01:00,2023-01-24 00:03:30+01:00,1975.0
97,12.0,Figure7-learned-embed-dim-003-a0750e8f,Completed,1.1841000318527222,2023-01-23 23:30:36+01:00,2023-01-24 00:02:41+01:00,1925.0
98,11.0,Figure7-learned-embed-dim-002-a3e968e1,Completed,1.2444000244140625,2023-01-23 23:30:38+01:00,2023-01-24 00:03:23+01:00,1965.0
99,1.0,Figure7-learned-embed-dim-001-e34463ae,Completed,15.075200080871582,2023-01-23 23:30:34+01:00,2023-01-23 23:59:43+01:00,1749.0
